000120,140000,20172,2831,20190822,141500,142000,139500,,
,141500,17740,2506,20190821,141500,142500,140500,,
,140500,19479,2745,20190820,139000,141500,139000,,
,140000,28551,3967,20190819,137500,140000,137500,,
,137500,70348,9711,20190816,142000,142000,135000,,
,142000,36303,5151,20190814,142000,142500,140500,,
,141500,38829,5460,20190813,139500,141500,138500,,
,141000,58334,8167,20190812,136500,142000,136000,,
,137500,67559,9297,20190809,140000,140500,136000,,
,137000,129505,17896,20190808,132000,141500,130500,,
,131000,30673,4041,20190807,132500,135000,131000,,
,133000,49843,6673,20190806,134000,137000,131000,,
,136500,46643,6375,20190805,139000,139000,134000,,
,139000,62927,8692,20190802,137000,140000,136500,,
,138000,42684,5885,20190801,136500,139000,135000,,
,137000,41348,5628,20190731,135000,138000,133000,,
,134000,24602,3284,20190730,132500,135000,131500,,
,133000,47078,6283,20190729,135000,137000,131000,,
,136000,25746,3518,20190726,138000,139000,135500,,
,138000,53239,7258,20190725,139000,139000,134000,,
,138000,30426,4215,20190724,138500,140500,137000,,
,139000,30304,4214,20190723,138000,140000,138000,,
,139000,17778,2471,20190722,138500,140000,137000,,
,138500,44878,6223,20190719,140000,140500,138000,,
,140500,50420,7061,20190718,138000,141000,137000,,
,139000,48706,6691,20190717,136000,139000,135000,,
,136500,37678,5133,20190716,136500,137500,133500,,
,135000,32685,4448,20190715,135500,137500,134500,,
,135500,109507,15143,20190712,136500,139500,135500,,
,134500,33854,4535,20190711,131500,135000,131500,,
,131000,28998,3778,20190710,129500,131500,129000,,
,130500,32854,4315,20190709,132000,133000,130000,,
,132000,27498,3632,20190708,134000,134000,131000,,
,133500,43697,5852,20190705,133000,135000,133000,,
,133500,42080,5559,20190704,133500,133500,130500,,
,132500,49806,6602,20190703,133500,134500,131500,,
,132500,73249,9769,20190702,134500,135500,132000,,
,136000,62513,8461,20190701,136500,137000,133000,,
,134500,118591,15458,20190628,132500,135500,132000,,
,132500,193763,25797,20190627,133500,135000,131500,,
,133000,320260,43683,20190626,143500,144500,132000,,
,144500,133333,19600,20190625,153000,154000,144500,,
,153000,23238,3557,20190624,155000,155000,152000,,
,154500,33702,5199,20190621,153500,155000,152500,,
,154000,36955,5645,20190620,150500,154500,150500,,
,151500,38525,5841,20190619,152500,153500,150500,,
,151500,43379,6554,20190618,150000,152500,150000,,
,150500,23551,3565,20190617,152500,153500,150000,,
,152500,55118,8427,20190614,156500,156500,152000,,
,157000,41588,6480,20190613,154500,157000,154000,,
,154500,32749,5043,20190612,153500,156000,152500,,
