000990,14700,315736,4659,20190822,14850,14950,14500,,
,14800,574231,8494,20190821,14500,14950,14400,,
,14500,589838,8503,20190820,14500,14700,14200,,
,14250,258127,3675,20190819,14400,14400,14100,,
,14250,348079,4935,20190816,13950,14350,13900,,
,14150,1253417,17911,20190814,14700,15000,13900,,
,14450,495942,7184,20190813,14350,14900,14200,,
,14550,1201463,17654,20190812,14150,15000,14150,,
,14150,1326060,18542,20190809,13500,14300,13450,,
,13200,477140,6331,20190808,13150,13550,13050,,
,12950,468777,5994,20190807,12550,13050,12550,,
,12550,697397,8842,20190806,12100,13150,11950,,
,12500,633966,8003,20190805,13150,13250,12200,,
,13250,453651,5988,20190802,13100,13400,12950,,
,13450,291684,3910,20190801,13150,13600,13150,,
,13350,435737,5721,20190731,13150,13400,12750,,
,13250,295396,3942,20190730,13150,13500,13150,,
,13150,447346,5957,20190729,13650,13650,13100,,
,13700,425647,5751,20190726,13250,13700,13250,,
,13400,768920,10292,20190725,13850,13900,13100,,
,13800,413636,5775,20190724,14150,14200,13800,,
,14050,501062,7123,20190723,14150,14450,14000,,
,14050,380223,5329,20190722,13950,14150,13850,,
,14000,575837,8102,20190719,14000,14350,13900,,
,13850,466540,6521,20190718,13800,14150,13800,,
,13850,815543,11303,20190717,14250,14250,13600,,
,14350,1001321,14290,20190716,14200,14550,13850,,
,14200,1695873,23642,20190715,13700,14300,13300,,
,13650,679281,9252,20190712,13550,13900,13350,,
,13450,871038,11771,20190711,13600,13850,13300,,
,13500,999300,13410,20190710,13400,13650,13150,,
,13100,1444188,19140,20190709,13600,13750,12800,,
,13300,1962498,27303,20190708,15050,15100,13300,,
,15300,420396,6451,20190705,15650,15650,15100,,
,15600,797901,12212,20190704,15350,15650,14850,,
,15350,820445,12691,20190703,15900,15900,15200,,
,15900,1647526,25626,20190702,14950,15900,14800,,
,14900,760632,11231,20190701,14700,15150,14400,,
,14750,581832,8594,20190628,15050,15100,14600,,
,15000,951696,14345,20190627,14850,15300,14700,,
,14750,391410,5782,20190626,14850,14900,14650,,
,14900,566377,8424,20190625,15000,15200,14650,,
,14800,378998,5650,20190624,14800,15100,14650,,
,14750,702466,10497,20190621,15250,15300,14750,,
,15150,619347,9307,20190620,15100,15250,14750,,
,15100,1083830,16442,20190619,15650,15650,14800,,
,15300,1564559,24783,20190618,16450,16750,15250,,
,16150,1407383,22533,20190617,15400,16600,15100,,
,15450,550324,8501,20190614,15750,15750,15100,,
,15750,610661,9514,20190613,15500,15850,15300,,
,15500,1312870,20205,20190612,14850,15750,14750,,
,14800,368332,5463,20190611,14800,15050,14700,,
,14750,514442,7664,20190610,15350,15350,14700,,
,15150,466571,6949,20190607,14650,15200,14500,,
,14600,608658,9058,20190605,15250,15300,14600,,
,14850,423470,6267,20190604,14850,15050,14550,,
,14850,481669,7065,20190603,14350,14950,14300,,
,14600,282444,4144,20190531,14500,15000,14400,,
,14550,318909,4633,20190530,14550,14900,14350,,
,14450,422175,6156,20190529,14850,14900,14400,,
,15000,421881,6295,20190528,14850,15200,14600,,
,14850,686323,10193,20190527,15200,15500,14300,,
,15100,418759,6359,20190524,15200,15500,15000,,
,15300,512502,7931,20190523,15450,15800,15150,,
,15450,500192,7663,20190522,15600,15600,14950,,
,15450,879616,13420,20190521,14650,15650,14600,,
,14700,628896,9339,20190520,14850,15150,14550,,
,14650,2103088,31477,20190517,14350,15550,14300,,
,14050,431084,6111,20190516,14600,14600,13900,,
,14450,539180,7815,20190515,14650,14850,14250,,
,14100,714994,9870,20190514,13500,14150,13350,,
,13800,506149,7121,20190513,14100,14400,13800,,
,14250,638246,9026,20190510,14050,14450,13800,,
,14100,1156451,16717,20190509,15350,15450,14000,,
,15250,456984,7008,20190508,15200,15550,15150,,
,15550,643953,10128,20190507,15750,16050,15400,,
,16200,625246,10029,20190503,16250,16300,15800,,
,16400,1134193,18807,20190502,16400,17000,16300,,
,16000,948780,15057,20190430,15450,16450,15150,,
,15300,499079,7586,20190429,14900,15400,14900,,
,14750,954979,14026,20190426,15100,15100,14350,,
,15250,994590,15525,20190425,15250,16250,15200,,
,15050,612041,9285,20190424,15600,15600,14800,,
,15350,1297281,20088,20190423,15250,15850,15200,,
,14900,800680,12030,20190422,15000,15300,14800,,
,14800,2393462,35504,20190419,13800,15650,13700,,
,13550,427069,5864,20190418,14050,14150,13450,,
,14150,590731,8226,20190417,13550,14250,13400,,
,13450,221160,2982,20190416,13500,13700,13350,,
,13600,335366,4526,20190415,13550,13650,13350,,
